BaseDateTime,MMSI,LAT,LON,SOG,Heading
328800,369970764.0,32.62901,-117.21452,9.3,205
328860,308322000.0,32.62729,-117.23518,9.7,20
328860,369970764.0,32.62484,-117.21543,15.5,193
328860,367463260.0,32.684545,-117.23083,6.0,170
328860,368798000.0,32.64,-117.29567,7.2,114
328920,308322000.0,32.628870000000006,-117.23448,9.15,20
328920,369970764.0,32.62054,-117.21618,15.1,164
328920,367463260.0,32.68334,-117.23063,6.0,174
328920,368798000.0,32.6395,-117.294335,7.2,114
328980,369970764.0,32.61605,-117.21497,15.6,175
328980,367463260.0,32.68158,-117.23044,6.1,171
328980,308322000.0,32.63045,-117.23378,8.6,21
328980,368798000.0,32.639,-117.293,7.2,115
329040,369970764.0,32.61172,-117.21375,15.4,148
329040,367463260.0,32.67897,-117.23009,6.3,170
329040,368798000.0,32.63817,-117.2905,7.2,114
329040,308322000.0,32.63254,-117.23279,7.9,20
329100,369970764.0,32.60817,-117.21057,15.6,140
329100,368798000.0,32.63717,-117.28783,7.2,115
329100,367463260.0,32.677655,-117.230045,6.3,174
329100,308322000.0,32.63522,-117.2316,7.7,20
329160,369970764.0,32.60478,-117.20723,15.5,146
329160,368798000.0,32.63633,-117.28533,7.2,115
329160,308322000.0,32.63683,-117.23083,7.5,20
329160,367463260.0,32.67634,-117.23,6.3,178
329220,367463260.0,32.67373,-117.22967,6.2,170
329220,368798000.0,32.63533,-117.283,5.2,115
329220,308322000.0,32.63948,-117.22965,8.2,20
329220,369970764.0,32.602805000000004,-117.205655,15.55,148
329280,368798000.0,32.63483,-117.2815,4.1,116
329280,369970764.0,32.60083,-117.20408,15.6,151
329280,308322000.0,32.64237,-117.22832,10.6,20
329280,367463260.0,32.672375,-117.22956,6.25,171
329340,308322000.0,32.64532,-117.22703,11.7,18
329340,367463260.0,32.67102,-117.22945,6.3,173
329340,368798000.0,32.63433,-117.28033,3.8,116
329400,368798000.0,32.634165,-117.279665,3.7,115
329400,308322000.0,32.64828,-117.22619,12.2,7
329400,367463260.0,32.66843,-117.22917,6.2,170
329460,368798000.0,32.634,-117.279,3.6,115
329460,308322000.0,32.65172,-117.22592,12.5,357
329460,367463260.0,32.66667,-117.22888,6.3,178
329520,367463260.0,32.66533,-117.22882,6.6,175
329520,368798000.0,32.6335,-117.27783,3.3,121
329520,308322000.0,32.65608,-117.2262,12.7,355
329580,368798000.0,32.633,-117.27683,3.3,126
329580,367463260.0,32.66399,-117.22876,6.9,173
329580,308322000.0,32.65926,-117.22658,12.8,353
329640,367463260.0,32.6612,-117.22835,6.8,167
329640,368798000.0,32.63233,-117.27583,3.4,125
329640,308322000.0,32.661565,-117.22693,12.8,352
329700,368798000.0,32.63167,-117.27467,3.4,125
329700,308322000.0,32.66387,-117.22728,12.8,351
